FEATURE_ID	FEATURE_TEXT	SOURCE_SECTION	SOURCE_LINE
F-000001	**Unified Intelligent Document & Data Platform**	منصة تحليل البيانات والمستندات الذكية	480
F-000002	هيكلة حسب المحركات والخدمات — شاملة لجميع المميزات والوظائف وحالات الاستخدام	منصة تحليل البيانات والمستندات الذكية	484
F-000003	الإصدار: 2.0 | التصنيف: سري | الهيكلة: حسب المحركات	منصة تحليل البيانات والمستندات الذكية	486
F-000004	منصة ويب موحدة وشاملة تمثل نظام تشغيل ذكي للمستندات والبيانات. تعتمد بالكامل على الذكاء الاصطناعي وتوفر وضعين دائمين: الوضع السهل بضغطة زر والوضع المتقدم للتحكم الكامل. تقوم على فلسفة السحب والإفلات الشامل في جميع العمليات بلا استثناء.	الرؤية الاستراتيجية العامة للمنصة	494
F-000005	المنصة ليست مجرد نظام بيانات ولوحات مؤشرات وتقارير، بل هي نظام تشغيل ذكي شامل للمستندات يتضمن:	نطاق المنصة الموسع	500
F-000006	- محرك بيانات وملفات شامل يقرأ جميع الأنواع بلا حدود	نطاق المنصة الموسع	502
F-000007	- محرك Excel احترافي بقدرات معالجة فائقة	نطاق المنصة الموسع	503
F-000008	- محرك لوحات مؤشرات تفاعلية بمستوى احترافي	نطاق المنصة الموسع	504
F-000009	- محرك تقارير احترافية دورية	نطاق المنصة الموسع	505
F-000010	- محرك عروض تقديمية وإنفوجرافيك يتجاوز مستوى Gamma	نطاق المنصة الموسع	506
F-000011	- محرك مطابقة حرفية هندسية دقيقة واحد لواحد	نطاق المنصة الموسع	507
F-000012	- محرك تعريب احترافي متقدم يتجاوز مجرد عكس الاتجاه	نطاق المنصة الموسع	508
F-000013	- محرك تحويل شامل بين جميع الصيغ	نطاق المنصة الموسع	509
F-000014	- محرك ذكاء اصطناعي واستجواب حر	نطاق المنصة الموسع	510
F-000015	- نظام حوكمة وصلاحيات وعمل جماعي	نطاق المنصة الموسع	511
F-000016	- وضعان دائمان في كل ميزة: سهل بضغطة زر ومتقدم للتحكم الكامل	المبادئ الثابتة في جميع المحركات	517
F-000017	- سحب وإفلات شامل في كل عملية	المبادئ الثابتة في جميع المحركات	518
F-000018	- ذكاء اصطناعي مفعل في كل مكان يساعد ولا يتحكم	المبادئ الثابتة في جميع المحركات	519
F-000019	- لا إغلاق نهائي لأي مخرجات: كل شيء قابل للتعديل دائماً	المبادئ الثابتة في جميع المحركات	520
F-000020	- لا حدود لحجم البيانات أو عدد الملفات أو الصفوف	المبادئ الثابتة في جميع المحركات	521
F-000021	- تكامل كامل بين جميع المحركات	المبادئ الثابتة في جميع المحركات	522
F-000022	- واجهة رسومية فاخرة وعصرية	المبادئ الثابتة في جميع المحركات	523
F-000023	- قابلية توسع غير محدودة وبنية وحدوية	المبادئ الثابتة في جميع المحركات	524
F-000024	- مدراء الإدارات والمدراء التنفيذيون	المستخدمون المستهدفون	530
F-000025	- محللو البيانات والمتخصصون	المستخدمون المستهدفون	531
F-000026	- الجهات الحكومية والرسمية	المستخدمون المستهدفون	532
F-000027	- الشركات المتوسطة والكبيرة	المستخدمون المستهدفون	533
F-000028	- فرق التقارير التشغيلية والمالية	المستخدمون المستهدفون	534
F-000029	- أي مستخدم يتعامل مع بيانات دون خبرة تقنية	المستخدمون المستهدفون	535
F-000030	ملفات البيانات	1.1 المصادر المدعومة	544
F-000031	- ملفات Excel بجميع الإصدارات والأحجام بلا حد أقصى	1.1 المصادر المدعومة	546
F-000032	- ملفات CSV بجميع الترميزات	1.1 المصادر المدعومة	547
F-000033	- ملفات TXT النصية	1.1 المصادر المدعومة	548
F-000034	- ملفات JSON	1.1 المصادر المدعومة	549
F-000035	- Google Sheets عبر الربط المباشر	1.1 المصادر المدعومة	550
F-000036	- قواعد بيانات مباشرة	1.1 المصادر المدعومة	551
F-000037	- ملفات مضغوطة تحتوي على ملفات متعددة	1.1 المصادر المدعومة	552
F-000038	- مجلدات كاملة يتم رفعها دفعة واحدة	1.1 المصادر المدعومة	553
F-000039	ملفات المستندات	1.1 المصادر المدعومة	555
F-000040	- ملفات Word بجميع الإصدارات	1.1 المصادر المدعومة	557
F-000041	- ملفات PDF المنسقة والممسوحة ضوئياً	1.1 المصادر المدعومة	558
F-000042	- نصوص خام بجميع الصيغ	1.1 المصادر المدعومة	559
F-000043	- تقارير رسمية بأي تنسيق	1.1 المصادر المدعومة	560
F-000044	- عروض تقديمية PowerPoint و Google Slides	1.1 المصادر المدعومة	561
F-000045	الصور والوسائط	1.1 المصادر المدعومة	563
F-000046	- صور تقارير ومستندات وجداول	1.1 المصادر المدعومة	565
F-000047	- صور إيصالات وفواتير	1.1 المصادر المدعومة	566
F-000048	- صور بيانات مطبوعة أو مكتوبة بخط اليد	1.1 المصادر المدعومة	567
F-000049	- قراءة النصوص والأرقام والجداول داخل الصور عبر التعرف البصري	1.1 المصادر المدعومة	568
F-000050	- تحويل الجداول المصورة إلى جداول رقمية قابلة للتحليل	1.1 المصادر المدعومة	569
F-000051	- مقاطع فيديو يوتيوب كمصدر للمحتوى	1.1 المصادر المدعومة	570
F-000052	مصادر مباشرة	1.1 المصادر المدعومة	572
F-000053	- روابط مواقع إلكترونية ومحتوى صفحات ويب	1.1 المصادر المدعومة	574
F-000054	- بريد إلكتروني	1.1 المصادر المدعومة	575
F-000055	- أنظمة تخطيط الموارد	1.1 المصادر المدعومة	576
F-000056	- واجهات برمجية خارجية	1.1 المصادر المدعومة	577
F-000057	- استيراد البيانات خصوصًا Excel	1.1 المصادر المدعومة	578
F-000058	- دمج مع Gmail وNotion وGoogle Drive عبر الموصلات	1.1 المصادر المدعومة	579
F-000059	- دمج مع Browser Operator لجمع بيانات المنافسين	1.1 المصادر المدعومة	580
F-000060	- استيراد التصاميم من Canva	1.1 المصادر المدعومة	581
F-000061	- سحب وإفلات ملفات متعددة Excel دفعة واحدة	1.1 المصادر المدعومة	582
F-000062	- رفع 10 ملفات شهرية ودمجها تلقائيًا	1.1 المصادر المدعومة	583
F-000063	- استخراج جدول موحد من ملفات متعددة	1.1 المصادر المدعومة	584
F-000064	- رفع مجلد كامل وليس فقط ملفات منفردة	1.1 المصادر المدعومة	585
F-000065	- قراءة جميع الشيتات تلقائيًا مع عرض خريطة محتوى	1.1 المصادر المدعومة	586
F-000066	- يسحب 50 ملف Excel	1.1 المصادر المدعومة	587
F-000067	- رفع 500 ملف Excel مختلفة المحتوى بضغطة زر واحدة	1.1 المصادر المدعومة	588
F-000068	- رفع ملفات متعددة	1.1 المصادر المدعومة	589
F-000069	- دعم جميع أنواع الملفات (Excel, CSV, TXT, Word, PDF, Images, APIs, DBs)	1.1 المصادر المدعومة	590
F-000070	- قراءة ملفات متعددة الأنواع معًا	1.1 المصادر المدعومة	591
F-000071	- سحب ملف لإرفاقه في مراسلة أو تقرير أو صفحة أو مهمة	1.1 المصادر المدعومة	592
F-000072	- سحب ملفات إلى مجلد ذكي لإنشاء قاعدة تصنيف	1.1 المصادر المدعومة	593
F-000073	- سحب قالب وإفلاته لإنشاء تقرير أو مراسلة أو لوحة جديدة	1.1 المصادر المدعومة	594
F-000074	- سحب حقل إلى فلتر أو محور تجميع داخل تقرير أو لوحة	1.1 المصادر المدعومة	595
F-000075	- سحب صفحة داخل شجرة الصفحات لتغيير التسلسل	1.1 المصادر المدعومة	596
F-000076	- سحب Feature Flag على مجموعة مستخدمين أو أدوار لاستهدافهم	1.1 المصادر المدعومة	597
F-000077	- سحب مزود SMS أو Email إلى Notification Channel Stack لتفعيلها	1.1 المصادر المدعومة	598
F-000078	- سحب لون أو Token وإفلاته على مكوّن لتطبيقه	1.1 المصادر المدعومة	599
F-000079	- سحب Theme وإفلاته على وحدة لتفعيل ثيم خاص بها	1.1 المصادر المدعومة	600
F-000080	- سحب Permission Chip على دور لإضافته	1.1 المصادر المدعومة	601
F-000081	- سحب مستخدم إلى قسم لتفعيل سياسات رؤية بيانات القسم	1.1 المصادر المدعومة	602
F-000082	- سحب مراسلة على Workflow Template لتطبيق مسار اعتماد	1.1 المصادر المدعومة	603
