FEATURE_ID	FEATURE_TEXT	FEATURE_HASH	ENGINE	SOURCE_SECTION	SOURCE_LINE
F-000001	**Unified Intelligent Document & Data Platform**	31ff77824839328ab8d77dabdbcac7fea6f5020aaa40339aed8aacc4063188be	Governance Engine	منصة تحليل البيانات والمستندات الذكية	480
F-000002	هيكلة حسب المحركات والخدمات — شاملة لجميع المميزات والوظائف وحالات الاستخدام	f64c1a59d076e97b5910bd36ca4ca681289a13ad2f2c73c9776c05e1e7b68d8f	Governance Engine	منصة تحليل البيانات والمستندات الذكية	484
F-000003	الإصدار: 2.0 | التصنيف: سري | الهيكلة: حسب المحركات	a51dee7155496fb2b4212b75268c435d48006924dc541eaf7cf4c3a80277e554	Governance Engine	منصة تحليل البيانات والمستندات الذكية	486
F-000004	منصة ويب موحدة وشاملة تمثل نظام تشغيل ذكي للمستندات والبيانات. تعتمد بالكامل على الذكاء الاصطناعي وتوفر وضعين دائمين: الوضع السهل بضغطة زر والوضع المتقدم للتحكم الكامل. تقوم على فلسفة السحب والإفلات الشامل في جميع العمليات بلا استثناء.	33b305229a36369e81dd976e8bfc454a94e31d0a55b88194e52e9313033b2431	Governance Engine	الرؤية الاستراتيجية العامة للمنصة	494
F-000005	المنصة ليست مجرد نظام بيانات ولوحات مؤشرات وتقارير، بل هي نظام تشغيل ذكي شامل للمستندات يتضمن:	2c2ddac2211fc5b30f6f0896cb920ce653c6424f7d358ded90becc95d8c63836	Governance Engine	نطاق المنصة الموسع	500
F-000006	- محرك بيانات وملفات شامل يقرأ جميع الأنواع بلا حدود	a5c42cb95bae97d840f81d8b04bb607ffc2df16cf40bb43bfda333836e048a8c	Governance Engine	نطاق المنصة الموسع	502
F-000007	- محرك Excel احترافي بقدرات معالجة فائقة	ed6446532baacd912fc100a56fc05b25974e0983b95545c7e1321d558a73b25a	Governance Engine	نطاق المنصة الموسع	503
F-000008	- محرك لوحات مؤشرات تفاعلية بمستوى احترافي	f86fc333b42d49eb87e03779d46ac9fce97f3966f50f7217f779c2850636d8da	Governance Engine	نطاق المنصة الموسع	504
F-000009	- محرك تقارير احترافية دورية	75881e609496009138ab74ee688f93ffda075e676ae0440473f8465109e81689	Governance Engine	نطاق المنصة الموسع	505
F-000010	- محرك عروض تقديمية وإنفوجرافيك يتجاوز مستوى Gamma	ef5d052da1b53c82ccea6c347840f9bb8a0e1443ecc23b4d88484a02868342d2	Governance Engine	نطاق المنصة الموسع	506
F-000011	- محرك مطابقة حرفية هندسية دقيقة واحد لواحد	43b7e5c79c6e26c4dbace19db4f061c5acde6123d608a678e3c2a50775e3c525	Governance Engine	نطاق المنصة الموسع	507
F-000012	- محرك تعريب احترافي متقدم يتجاوز مجرد عكس الاتجاه	67f86d27650f95213f48116efcc74aa9fb80983d63e9c7fa99394adc74e222fe	Governance Engine	نطاق المنصة الموسع	508
F-000013	- محرك تحويل شامل بين جميع الصيغ	952ef4892718abd3c4d34f0096567a86fc7a945d73a0ee15909814746cca93ec	Governance Engine	نطاق المنصة الموسع	509
F-000014	- محرك ذكاء اصطناعي واستجواب حر	e296daa7bef8051188804973e8c1f02e2150082cca794256c86e97384b23e98d	Governance Engine	نطاق المنصة الموسع	510
F-000015	- نظام حوكمة وصلاحيات وعمل جماعي	977c95d2cd45622866bc87553ac8af378a966a2c477c51f1973809e6c04697ff	Governance Engine	نطاق المنصة الموسع	511
F-000016	- وضعان دائمان في كل ميزة: سهل بضغطة زر ومتقدم للتحكم الكامل	62377a74e2dc8592c5063e2527793e7be4aa7f62e9a41011539c7e88baa7945f	Governance Engine	المبادئ الثابتة في جميع المحركات	517
F-000017	- سحب وإفلات شامل في كل عملية	1d5ce64e36124ea2d324a5b2952baf51996125e233825b65eaeec42a001e38a3	Governance Engine	المبادئ الثابتة في جميع المحركات	518
F-000018	- ذكاء اصطناعي مفعل في كل مكان يساعد ولا يتحكم	a85f4ad6130703eee7861d13d163129465f57fba33306913b244ada6c3ace733	Governance Engine	المبادئ الثابتة في جميع المحركات	519
F-000019	- لا إغلاق نهائي لأي مخرجات: كل شيء قابل للتعديل دائماً	d827686f4ce4f14046fc3a46658839dfd4fe6d263dfb19fb8aa715ed4001d5ab	Governance Engine	المبادئ الثابتة في جميع المحركات	520
F-000020	- لا حدود لحجم البيانات أو عدد الملفات أو الصفوف	32debbf52fbcf73c66141fef4763510f84a709e669187d4bf9c9d31e84e9ff5e	Governance Engine	المبادئ الثابتة في جميع المحركات	521
F-000021	- تكامل كامل بين جميع المحركات	a62ad00af219200458d2af783284c28e9ea1f0e0954fe56e2ea65001851c5dd8	Governance Engine	المبادئ الثابتة في جميع المحركات	522
F-000022	- واجهة رسومية فاخرة وعصرية	32f261cfe42712fcf94140c065a535c573d27e794e590d278beb53da3122fe8b	Governance Engine	المبادئ الثابتة في جميع المحركات	523
F-000023	- قابلية توسع غير محدودة وبنية وحدوية	9fdc662329cf3cda5e06b61b8fa727b861080d02294b84033fbd79eeb06303c2	Governance Engine	المبادئ الثابتة في جميع المحركات	524
F-000024	- مدراء الإدارات والمدراء التنفيذيون	9b5890d279e33b847a75516f8842841c96ad56baea2dd96ce99b79e94097f967	Governance Engine	المستخدمون المستهدفون	530
F-000025	- محللو البيانات والمتخصصون	2303d4b27d1a7cc9ad30f21025ccacfb4cdd559b2cc3f286d3854687d74965c1	Governance Engine	المستخدمون المستهدفون	531
F-000026	- الجهات الحكومية والرسمية	1ed0dbd60bfda60f88a4a548304cd950a33270604c51fed7d020a3100b77fe7d	Governance Engine	المستخدمون المستهدفون	532
F-000027	- الشركات المتوسطة والكبيرة	d3b8b2d0f1f27f400dadecc9a96e2afc6ed77253deea09bf2d40e8c21c087b4d	Governance Engine	المستخدمون المستهدفون	533
F-000028	- فرق التقارير التشغيلية والمالية	76ad8bdab3dfa4938f927026ab3fad7839e2b259a080eee3251042f89cc0ff7d	Governance Engine	المستخدمون المستهدفون	534
F-000029	- أي مستخدم يتعامل مع بيانات دون خبرة تقنية	301a5e26c41f3ee9dfe34e1973673db012f5dfba950d55b92090715f684fd0b1	Governance Engine	المستخدمون المستهدفون	535
F-000030	ملفات البيانات	eba23e577c146685851b4a94f0c4c2cca8104c0ff3528d459ad2b5c32f181d09	Data Engine	1.1 المصادر المدعومة	544
F-000031	- ملفات Excel بجميع الإصدارات والأحجام بلا حد أقصى	d53a7e04cf47f1edee790680cb99fc209beb921f777f26919ffe61b8b9c9705b	Data Engine	1.1 المصادر المدعومة	546
F-000032	- ملفات CSV بجميع الترميزات	4e2f94ae4161d2310b0bc8d6b530fc9399ded627716728e55a110c91947dae6a	Data Engine	1.1 المصادر المدعومة	547
F-000033	- ملفات TXT النصية	b4d13ddaa9b530db45a53c0043d8d2da7e8c98f1587e477ac81cacf442d4f007	Data Engine	1.1 المصادر المدعومة	548
F-000034	- ملفات JSON	c32b8cfe167e559900b826b0cb45de663f7eed02601c929b025e2c8ad44c5bc0	Data Engine	1.1 المصادر المدعومة	549
F-000035	- Google Sheets عبر الربط المباشر	0a8fda9ad054ccf2a5b0e49b663131fc91c7ddf034f234e9430756cd6d4bdab1	Data Engine	1.1 المصادر المدعومة	550
F-000036	- قواعد بيانات مباشرة	266cbfd4a2b7cf74909709d4370bf2d12572ab34330c34d9f33ac4f895c81d48	Data Engine	1.1 المصادر المدعومة	551
F-000037	- ملفات مضغوطة تحتوي على ملفات متعددة	e4de960777f55cf3af0632556ef44f4fc03ef7d45ca822f5f6962b668c9e3d3d	Data Engine	1.1 المصادر المدعومة	552
F-000038	- مجلدات كاملة يتم رفعها دفعة واحدة	58233abd859238b74ac16f74b512077a1edf54b45ca7f37db4b25e26f4ca53cf	Data Engine	1.1 المصادر المدعومة	553
F-000039	ملفات المستندات	c75938ca5318c94c0f9feb3649e11543068ba0338bb904d6939812a19c5d061c	Data Engine	1.1 المصادر المدعومة	555
F-000040	- ملفات Word بجميع الإصدارات	368a48706107ce0c3b42f2b86081176cb2828a5d868e0bbfd4fcdc181b9453ab	Data Engine	1.1 المصادر المدعومة	557
F-000041	- ملفات PDF المنسقة والممسوحة ضوئياً	82c44b21ab17230e12be849784b6dab68415451e6752683f24d6eac0456617bf	Data Engine	1.1 المصادر المدعومة	558
F-000042	- نصوص خام بجميع الصيغ	0074753b4cc0a2d897ab650c8621d025895f106eeeda16c39ec16cb9425d272f	Data Engine	1.1 المصادر المدعومة	559
F-000043	- تقارير رسمية بأي تنسيق	82a53dcdfffe2029ae2b8d24e99519f165d53184909eb2cefc833725072b6905	Data Engine	1.1 المصادر المدعومة	560
F-000044	- عروض تقديمية PowerPoint و Google Slides	16a8f869fa5b287c602024165a51feeb9d2901b35a68322ef09cd9f87e2d6ba3	Data Engine	1.1 المصادر المدعومة	561
F-000045	الصور والوسائط	84d2e53436eaee1daae5f61f567267ae9ea6feb5f60140229bd28ab8174f91d0	Data Engine	1.1 المصادر المدعومة	563
F-000046	- صور تقارير ومستندات وجداول	e8c8ba755b69abdb01e2e6b30ab0f5317b95df3fc7640bb129c344547e4365b5	Data Engine	1.1 المصادر المدعومة	565
F-000047	- صور إيصالات وفواتير	9e844361d5518769eff90dae21faba2c37e76ba418b8c9059bdc88129f208602	Data Engine	1.1 المصادر المدعومة	566
F-000048	- صور بيانات مطبوعة أو مكتوبة بخط اليد	ff653c230a065b085ddd999c6ab03474b3fcb4539c9c8fc453caaa3e82fd548b	Data Engine	1.1 المصادر المدعومة	567
F-000049	- قراءة النصوص والأرقام والجداول داخل الصور عبر التعرف البصري	1509b67c9311a75522f4ac903606e508232fcaa8d771b6c1b5033aacb6a952f4	Data Engine	1.1 المصادر المدعومة	568
F-000050	- تحويل الجداول المصورة إلى جداول رقمية قابلة للتحليل	b20520a76abb1acea53467f65fc7d37b92d7b55c742771edade7f69de74828ba	Data Engine	1.1 المصادر المدعومة	569
F-000051	- مقاطع فيديو يوتيوب كمصدر للمحتوى	e3b57de861ee984083213c28b440df44dbf19e753019316c4446a1c9d271ca4c	Data Engine	1.1 المصادر المدعومة	570
F-000052	مصادر مباشرة	30d21b51191f393b7712d8a22415925b1a2b781fd1885bb140269b2c2c14d10d	Data Engine	1.1 المصادر المدعومة	572
F-000053	- روابط مواقع إلكترونية ومحتوى صفحات ويب	85c85eb34282112aad8d8d57e9677154487bb3e145403e33ac820f684d39f57e	Data Engine	1.1 المصادر المدعومة	574
F-000054	- بريد إلكتروني	ff105bd8853782b597345c0038f1ace893a25cc7e217c83fb1eeddda5904c0e8	Data Engine	1.1 المصادر المدعومة	575
F-000055	- أنظمة تخطيط الموارد	92d4e7af540c0f820a88cd638b2c293c31f57c3caf092d683ede4b405663be26	Data Engine	1.1 المصادر المدعومة	576
F-000056	- واجهات برمجية خارجية	270cee187313f8d6100fd066e2ab556d89a4d413d64f39ccc720efe14bf071e3	Data Engine	1.1 المصادر المدعومة	577
